"","name","place_id","time_spent","current_popularity","website","price_level","rating","n_ratings","phone","business_status","locality","administrative_area_level_2","administrative_area_level_1","country","postal_code_prefix","lat","lon","subpremise","street_number","route","sublocality_level_1","postal_code","neighborhood","point_of_interest","premise"
"82","Anroko","ChIJR9VmPLNEBEcRkmLFEGtcOko",NA,NA,"http://www.gerda-poznan.pl/",NA,3.8,6,"+48 61 852 68 43","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4182717,16.9139246,NA,"33","aleja Wielkopolska","Jeżyce","60-603",NA,NA,NA
"83","Kancelaria Radcy Prawnego Maciej Wąsiewicz","ChIJUad-NrNEBEcROfCMSS_zbpw",NA,NA,NA,NA,4.3,4,"+48 602 461 605","CLOSED_TEMPORARILY","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4179737,16.9147681,NA,"29","aleja Wielkopolska","Jeżyce","60-603",NA,NA,NA
"84","TT-COM","ChIJn_4SN7NEBEcRPpKTQJErtl0",NA,NA,NA,NA,NA,NA,"+48 61 610 12 74","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.41805,16.9145764,NA,"31","aleja Wielkopolska","Jeżyce","60-603",NA,NA,NA
"85","PEBOS POLSKA spółka z ograniczoną odpowiedzialnością spółka komandytowa","ChIJYVILU7NEBEcRpwFI_4IvVPY",NA,NA,"http://www.pebos.pl/",NA,3.9,19,"+48 61 848 40 35","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4168725,16.9144746,NA,"26","Grudzieniec","Jeżyce","60-601",NA,NA,NA
"86","Antech s.c.","ChIJE7GhbrREBEcRPJlvzaAByEg",NA,NA,NA,NA,1,1,NA,"OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4164408,16.9087681,NA,"60","Mylna","Jeżyce","60-858",NA,NA,NA
"87",",,FENOM'' Ośrodek Rozwoju i Terapii metodą A.Tomatisa","ChIJ3w-aaLNEBEcR6xIKsx3q_uk",NA,NA,"https://www.fenom.pl/",NA,NA,NA,"+48 61 840 76 10","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4175181,16.9125456,NA,"34","Grudzieniec","Jeżyce","60-601",NA,NA,NA
"88","LexStrada Kancelaria Prawa Pracy Przemysław Dziubak radca prawny","ChIJc0ITGzlbBEcRa7hEnboUOL0",NA,NA,"http://www.lexstrada.pl/",NA,4.6,83,"+48 61 851 69 04","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4154632,16.9100594,"U-3","29","Jeżycka","Jeżyce","60-864",NA,NA,NA
"89","Office and Home - sprzątanie Poznań","ChIJg-z_0LREBEcR7w3SGz89Zew",NA,NA,NA,NA,NA,NA,"+48 61 677 22 42","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.41465,16.9125507,NA,"48","Jeżycka","Jeżyce","60-810",NA,NA,NA
"90","WALCZAK - wooden floors - showroom","ChIJAZvkB7VEBEcREfWKCYeBlnU",NA,NA,"http://www.walczakparkiety.pl/",NA,4.9,10,"+48 61 842 76 44","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4140355,16.9086812,NA,"38","Poznańska","Jeżyce","60-850",NA,NA,NA
"91","Perła. Pralnia chemiczna","ChIJXcfwUrREBEcRGfKyqdUxwWI",NA,NA,NA,NA,4.8,30,"+48 61 842 70 48","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4150872,16.9083676,NA,"23","Mylna","Jeżyce","60-856",NA,NA,NA
"92","Biurex","ChIJdYIYEa5EBEcRNKsHXwnxQg4",NA,NA,NA,NA,NA,NA,"+48 602 632 884","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.423676,16.909394,NA,"37A","Nad Wierzbakiem","Jeżyce","60-611",NA,NA,NA
"93","Multimoto","ChIJOZ3gsLZEBEcRi0mQVZi2uYo",NA,NA,"http://www.multimoto.pl/",NA,5,16,"+48 61 848 37 37","OPERATIONAL","Poznań","Poznań","Greater Poland Voivodeship","Poland",NA,52.4173393,16.9048201,NA,NA,NA,"Jeżyce, Poznań","60-101",NA,NA,NA
"94","Litewska NZOZ","ChIJH0aoPjVbBEcRrpiQROXt42g",NA,NA,"http://www.nzozlitewska.pl/",NA,5,1,"+48 61 848 41 85","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4205403,16.9057096,NA,"8","Litewska","Jeżyce","60-605",NA,NA,NA
"95","DNA Program","ChIJxxO4IKVEBEcRrooAluG0nAY",NA,NA,"http://dnaprogram.pl/",NA,2.3,3,"+48 61 847 92 50","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4191269,16.9087638,NA,"26","Mazowiecka","Jeżyce","60-623",NA,NA,NA
"96","Żabka","ChIJrXPK9rFEBEcRxNtyJRkcZqY","People typically spend 10 min here",NA,"https://www.zabka.pl/",NA,3.8,201,"+48 61 856 37 00","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.421859,16.909077,"1","16","Nad Wierzbakiem","Jeżyce","60-612",NA,NA,NA
"97","POZGUM - Producent wyrobów gumowych. Części gumowe, poduszki, tuleje, wibroizolatory, podkłady","ChIJUSghYbFEBEcRpk7d9KqMI0M",NA,NA,"https://pozgum.pl/",NA,4.9,14,"+48 61 852 31 26","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4190659,16.9074149,NA,"1","Nad Wierzbakiem","Jeżyce","60-604",NA,NA,NA
"98","PREMIO PROMYK SERWIS","ChIJu0KZAwFMBEcRsazxq418VpM","People typically spend 30 min here",0,"http://hurtowniaopon.pl/",NA,4.1,254,"+48 61 847 93 39","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.416729,16.9103284,NA,"18","Norwida","Jeżyce","60-867",NA,NA,NA
"99","Adarex s.c. PW","ChIJVTgmPK5EBEcRMUoaaBDSKIM",NA,NA,"http://www.adarex.pl/",NA,4,1,"+48 61 847 37 22","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4238542,16.9085906,NA,"8","Śląska","Jeżyce","60-614",NA,NA,NA
"100","Gabinet Stomatologiczny Jerzy & Andrzej Glabisz","ChIJhaNt5rNEBEcRUgXW6N4KOsI",NA,NA,"http://glabisz.pl/",NA,5,6,"+48 61 853 03 01","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4185912,16.9084755,NA,"60","Grudzieniec","Jeżyce","60-601",NA,NA,NA
"101","Genero - Energooszczędne domy szkieletowe w technologii Steico","ChIJLwsydoNFBEcRHR851n3fXZY",NA,NA,"http://www.genero-domy.pl/",NA,4.8,21,"+48 667 821 007","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4177102,16.9140223,NA,"4","Kurpiowska","Jeżyce","60-602",NA,NA,NA
"102","BRUK-BAU","ChIJL09DnLZEBEcRBPfrWaQmEIE",NA,NA,NA,NA,NA,NA,"+48 603 609 732","CLOSED_TEMPORARILY","Poznań","Poznań","Wielkopolskie","Poland",NA,52.416081,16.9053336,NA,"33","Kościelna","Jeżyce","60-537",NA,NA,NA
"103","Andrzej. Sklep wielobranżowy","ChIJU6OkurZEBEcRRI7cskqR0uA",NA,NA,NA,NA,NA,NA,"+48 61 663 20 58","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4171278,16.9054057,NA,"1B","Świętego Wawrzyńca","Jeżyce","60-539",NA,NA,NA
"104","Lubicz. Biuro obrotu nieruchomościami. Gregorowicz J.","ChIJY1ZP1rFEBEcRwjPQGOXIIbw",NA,NA,NA,NA,NA,NA,"+48 61 852 74 77","CLOSED_TEMPORARILY","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4228603,16.9070598,NA,"3","Podolska","Jeżyce","60-615",NA,NA,NA
"105","EWA DEKOR Studio Dekoracji Wnętrz Ewa Kostera","ChIJV0lEd19FBEcR9clDtZHnLCU",NA,NA,NA,NA,3.4,9,"+48 601 798 779","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4219437,16.9074445,NA,"3","Małopolska","Jeżyce","60-616",NA,NA,NA
"106","GEPHOUSE deweloper i biuro nieruchomości","ChIJtRswUstEBEcRFLFCcILisuE",NA,NA,"http://www.gephouse.pl/",NA,3.2,52,"+48 795 939 073","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4201657,16.9094597,NA,"65A","aleja Wielkopolska","Jeżyce","60-603",NA,NA,NA
"107","Gabinet Leczenia Schorzeń Kręgosłupa","ChIJJfRXDLREBEcRzQe5Td_0QpA",NA,NA,"http://www.nastawianiekregoslupa.pl/",NA,4.6,9,"+48 601 772 423","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4168295,16.9083605,NA,"8","Jeżycka","Jeżyce","60-863",NA,NA,NA
"108","Filo Biuro Rachunkowe Zofia Szczerkowska","ChIJidYGp61EBEcRKOz6BGBiDNE",NA,NA,NA,NA,NA,NA,"+48 501 381 255","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4239479,16.9119704,"1","1","Sokoła","Jeżyce","60-644",NA,NA,NA
"109","Solar","ChIJDUmr2bNEBEcRe93d0Qj5q_4",NA,NA,NA,NA,NA,NA,"+48 61 844 17 72","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4192461,16.9082915,NA,"6","Nad Wierzbakiem","Jeżyce","60-604",NA,NA,NA
"110","Graphdesign Studio","ChIJAYPh-rFEBEcREIdfABQIqPs",NA,NA,"http://graphdesign.eu/",NA,NA,NA,"+48 780 174 242","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4217101,16.9085899,NA,NA,"Nad Wierzbakiem","Jeżyce","60-612",NA,NA,NA
"111","dm-art.pl","ChIJa0clCAZQBEcR9gCCwf2hhjI",NA,NA,NA,NA,4.5,2,"+48 534 403 244","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.423515,16.9139669,NA,"12","Maczka","Jeżyce","60-651",NA,NA,NA
"112","Wpusty dachowe, przelewy awaryjne, odwodnienia dachów płaskich - Impol","ChIJharsDLNEBEcRgZtckgGz-Yk",NA,NA,NA,NA,NA,NA,"+48 61 853 30 56","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4178525,16.9117176,NA,"40a","Grudzieniec","Jeżyce","60-601",NA,NA,NA
"113","A.R. Pilarczyk","ChIJEw-EdHlDBEcRWUxslWtg924",NA,NA,"http://www.lazienka4you.pl/",NA,3.5,2,"+48 515 522 590","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4216297,16.9089849,"m 3","14","Nad Wierzbakiem","Jeżyce","60-612",NA,NA,NA
"114","4 Light","ChIJCwDWc7NEBEcRFtzYVsA1pCg",NA,NA,"http://www.4light.pl/",NA,4.8,6,"+48 61 851 73 00","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4179181,16.9119033,NA,"38","Grudzieniec","Jeżyce","60-601",NA,NA,NA
"115","Fundacja L'Arche","ChIJ-b4F8jVDBEcRxgq8jfyM_nw",NA,NA,"http://www.larche.org.pl/",NA,4.6,18,"+48 61 825 62 00","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.423308,16.9079491,NA,"13A","Polańska","Jeżyce","60-614",NA,NA,NA
"116","Wróżka Hanka. Wróżby, astrologia, numerologia. Trojanowska H.","ChIJdU2QPrREBEcR6I6I2th6LV4",NA,NA,NA,NA,5,5,"+48 61 848 46 91","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4159413,16.9075056,NA,"54A","Mylna","Jeżyce","60-858",NA,NA,NA
"117","ItIdea","ChIJTQFOUrFEBEcRANbH091XFNY",NA,NA,"http://www.itidea.com.pl/",NA,NA,NA,"+48 61 622 93 44","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.417666,16.9060894,NA,"45","Kościelna","Jeżyce","60-537",NA,NA,NA
"118","Wielkopolski Związek Pracodawców Prywatnych","ChIJm4AknLFEBEcRkT_vP2lnA4Q",NA,NA,"http://wzp.org.pl/",NA,NA,NA,"+48 61 848 43 46","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4206231,16.9073132,NA,"3","Litewska","Jeżyce","60-605",NA,NA,NA
"119","Ce-Bud Cezary Latecki","ChIJ_8FCwrFEBEcRo4kSlwDLBQw",NA,NA,NA,NA,NA,NA,"+48 602 120 793","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4220796,16.9074639,NA,"20","Śląska","Jeżyce","60-614",NA,NA,NA
"120","PIANO CZERNIAK. Remonty, strojenie i sprzedaż fortepianów","ChIJC3JtcrNEBEcRE6eg8e5gaMY",NA,NA,"http://www.piano-czerniak.pl/",NA,4.9,22,"+48 601 882 260","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4178314,16.9124246,NA,"7","Łady","Jeżyce","60-602",NA,NA,NA
"121","Poznań","ChIJtwrh7NJEBEcR0b80A5gx6qQ",NA,NA,"http://www.poznan.pl/",NA,NA,NA,NA,NA,"Poznań","Poznań","Greater Poland Voivodeship","Poland","62",52.406374,16.9251681,NA,NA,NA,NA,NA,NA,NA,NA
"122","Hotel Vivaldi Poznań","ChIJN0orUFJbBEcR8sfbzarbIzo",NA,NA,"http://www.vivaldi.pl/poznan",NA,4.5,1034,"+48 61 858 81 00","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4229845,16.9234688,NA,"9","Winogrady","Stare Miasto","61-663",NA,NA,NA
"123","IKAR Poznań","ChIJwzA6H0lbBEcRxe10RpMFtj8",NA,NA,"https://phhhotele.pl/hotele/poznan-ikar/",NA,3.6,1158,NA,"OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4135493,16.9245149,NA,"18","Solna","Stare Miasto","61-736",NA,NA,NA
"124","Bell of Peace and Friendship Among Nations","ChIJTRNsxVpbBEcRMw8nNndL4rs",NA,NA,NA,NA,4.5,243,NA,"OPERATIONAL","Poznań","Poznań","Greater Poland Voivodeship","Poland",NA,52.4196016,16.9356894,NA,NA,NA,"Stare Miasto","60-995",NA,NA,NA
"125","Pomnik Armii Poznań","ChIJZ8tb8UVbBEcR3WlOO6tDNW0","People typically spend 15 min to 1 hr here",NA,NA,NA,4.8,189,NA,"OPERATIONAL","Poznań","Poznań","Greater Poland Voivodeship","Poland",NA,52.4151633,16.9305405,NA,NA,NA,"Stare Miasto","61-001",NA,NA,NA
"126","Faculty of Law and Administration of the Adam Mickiewicz University","ChIJM6Kr0U5bBEcRRCgSvHtoA54",NA,NA,"http://www.prawo.amu.edu.pl/",NA,4,93,"+48 61 829 31 00","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4162128,16.9257276,NA,"53","Aleja Niepodległości","Stare Miasto","61-714",NA,NA,NA
"127","Piper Cytadela Apartament","ChIJL3CxaFFbBEcRKPdpZn1i6tA",NA,NA,"https://piper-cytadela-apartament.business.site/",NA,4.5,26,"+48 600 222 010","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4242014,16.9280853,NA,"122","Za Cytadelą","Stare Miasto","61-459",NA,NA,NA
"128","Collegium Da Vinci","ChIJ-TdtjkVbBEcRZ5vnSObxMAY",NA,NA,"https://cdv.pl/",NA,4,278,"+48 61 271 10 00","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4158782,16.9316779,NA,"10","Kutrzeby","Stare Miasto","61-719",NA,NA,NA
"129","Pokoje dla pracowników","ChIJJXk1pU5bBEcRm3USRdVdA2M",NA,NA,NA,NA,NA,NA,"+48 737 477 205","CLOSED_TEMPORARILY","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4159958,16.9233027,NA,"12","Cicha","Stare Miasto","61-710",NA,NA,NA
"130","Silvan Logistics - Spedycja Poznań","ChIJR7-XeE9bBEcRakxLaSzHSjQ",NA,NA,"https://silvan-logistics.com/oddzial/poznan/?utm_source=google&utm_medium=organic&utm_term=GMB&utm_campaign=poznan",NA,3.5,93,"+48 887 555 771","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.41667,16.931138,"124","16G","Kutrzeby","Stare Miasto","61-719",NA,NA,NA
"131","Sąd Okręgowy","ChIJj68RyUdbBEcREZULQH-oshs","People typically spend 20 min to 2 hr here",83,"http://www.poznan.so.gov.pl/",NA,4.1,336,"+48 61 628 30 00","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4138096,16.9283224,NA,"2","Stanisława Hejmowskiego","Stare Miasto","61-736",NA,NA,NA
"132","Sejmik Województwa Wielkopolskiego","ChIJNy_4AkpbBEcR6BDSzUAZvKw",NA,NA,"https://www.umww.pl/sejmik",NA,5,1,"+48 61 626 70 30","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4145549,16.925128,NA,"34","Aleja Niepodległości","Stare Miasto","61-714",NA,NA,NA
"133","Flos Carmeli. Wydawnictwo Warszawskiej Prowincji Karmelitów Bosych","ChIJm33Xa0ZbBEcRQ97dkhwv-vE",NA,NA,"http://floscarmeli.pl/",NA,5,6,"+48 61 856 08 34","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.413477,16.9302867,NA,"25","Działowa","Stare Miasto","61-747",NA,NA,NA
"134","Wzgórze św. Wojciecha","ChIJrd9S4kVbBEcR8IM6Lfo3HrQ",NA,NA,NA,NA,4.6,565,NA,"OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4129734,16.9299711,NA,NA,"Święty Wojciech","Stare Miasto","61-764",NA,NA,NA
"135","Tableart Tomasz Miszczak","ChIJyUaafE9bBEcRau9LbTtS5Ys",NA,NA,"https://tableart.pl/?utm_source=gmf&utm_medium=organic&utm_campaign=gmf2",NA,5,1,"+48 690 189 713","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4162184,16.9301002,NA,"14","Kutrzeby","Stare Miasto","61-719",NA,NA,NA
"136","Główny Punkt Informacyjny Funduszy Europejskich","ChIJ6aHolUFbBEcRFturVF1-pzQ",NA,NA,"http://www.wrpo.wielkopolskie.pl/",NA,NA,NA,"+48 61 626 61 93","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.414635,16.9253841,NA,"34","Aleja Niepodległości","Stare Miasto","61-714",NA,NA,NA
"137","Mytko-Krzywkowska Anna, lek. med. Spec. kardiolog dziecięcy","ChIJW9o890tbBEcRopwqzkez1q4",NA,NA,NA,NA,5,2,"+48 61 859 03 09","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4154402,16.9209048,NA,"16","Sporna","Stare Miasto","61-709",NA,NA,NA
"138","Aula Artis","ChIJ6V5tjkVbBEcRWt6K59OMLlA",NA,NA,"http://www.aulaartis.pl/",NA,4.5,984,NA,"OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4158079,16.9315249,NA,"10","Kutrzeby","Stare Miasto","61-719",NA,NA,NA
"139","Uniqa S.A. Towarzystwo Ubezpieczeń. Przedstawicielstwo","ChIJGSrqYU9bBEcR9NR6O6Kg7gQ",NA,NA,"https://uniqa.ubezpieczenie.com.pl/placowki_towarzystwa/0,5170.html",NA,3.2,10,"+48 513 053 150","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.415997,16.9305274,NA,"12A","Kutrzeby","Stare Miasto","61-719",NA,NA,NA
"140","Winogrady","ChIJ0e5cO6hcBEcRt960AGeHTgc",NA,NA,NA,NA,NA,NA,NA,NA,"Poznań","Poznań","Greater Poland Voivodeship","Poland",NA,52.4306007,16.9363009,NA,NA,NA,"Stare Miasto","61-001","Winogrady",NA,NA
"141","Bauder Polska Sp. z o.o.","ChIJr-SkjEVbBEcR9SUd70NBLzA",NA,NA,"http://www.bauder.pl/",NA,4.7,10,"+48 61 885 79 00","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4168312,16.9301215,"141","16G","Kutrzeby","Stare Miasto","61-719",NA,NA,NA
"142","Hufiec ZHP Piast","ChIJv_8fElFbBEcRkK-_3WYEMDM",NA,NA,"http://www.staremiasto.zhp.wlkp.pl/",NA,5,2,"+48 61 825 06 41","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4233602,16.9293831,NA,"121","Za Cytadelą","Stare Miasto","61-626",NA,NA,NA
"143","E-medic Sp. z o.o.","ChIJQUM_ZE9bBEcRfwuDWOiuDMc",NA,NA,NA,NA,NA,NA,"+48 602 536 076","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4159088,16.9301454,NA,"16","Kutrzeby","Stare Miasto","61-719",NA,NA,NA
"144","CLS Digital. Identyfikatory, karty plastikowe, identyfikacja","ChIJR7-XeE9bBEcR4U8T7gVt75w",NA,NA,"https://clsdigital.pl/?utm_source=gmf&utm_medium=organic&utm_campaign=gmf2",NA,4,4,"+48 61 222 49 03","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4168767,16.9303789,"142","16G","Kutrzeby","Stare Miasto","61-719",NA,NA,NA
"145","Zegarmistrz Brokot","ChIJA5neOFJbBEcRz3o7_UdpWn0",NA,NA,"http://www.brokot.com.pl/",NA,4.3,27,"+48 61 852 71 31","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4224496,16.9243792,NA,"6","Winogrady","Stare Miasto","61-663",NA,NA,NA
"146","aPit Sp. z o.o. Doradca podatkowy","ChIJtVpuzFNbBEcRdnFXC5JD7jk",NA,NA,"http://www.apit.pl/",NA,4.2,5,"+48 61 667 33 50","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4233484,16.9252752,NA,"16","Winogrady","Stare Miasto","61-663",NA,NA,NA
"147","Śwital Radosław. Kancelaria radcy prawnego","ChIJBS_yKTxbBEcRfRdbko1wr-8",NA,NA,"http://swital.pl/kontakt.html",NA,1,1,"+48 61 850 10 10","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4168424,16.9307842,"121","16g","Kutrzeby","Stare Miasto","61-719",NA,NA,NA
"148","Dermoscience. Kosmetologia","ChIJR7-XeE9bBEcRTiYXcJaKc00",NA,NA,NA,NA,NA,NA,"+48 61 855 02 02","CLOSED_TEMPORARILY","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4167299,16.9300126,NA,"16G","Kutrzeby","Stare Miasto","61-001",NA,NA,NA
"149","ILS. International Language Service. Sp. z o.o.","ChIJU7cFMFJbBEcRvglpF2FeOgk",NA,NA,"http://www.ils-poland.com.pl/",NA,NA,NA,"+48 61 821 94 41","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4224929,16.9248375,NA,"142","Za Cytadelą","Stare Miasto","61-659",NA,NA,NA
"150","AMB Poland Sp. z o.o.","ChIJKyJCnU9bBEcR6WP_FU7qDc8",NA,NA,NA,NA,5,2,"+48 61 222 49 04","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4169055,16.9303953,NA,NA,NA,"Stare Miasto","61-719",NA,NA,NA
"151","ARDENICO Adrian Blandzi","ChIJwb2lb09bBEcRTAkf8he1UeY",NA,NA,NA,NA,NA,NA,"+48 517 050 538","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4168911,16.9305207,NA,"16D","Kutrzeby","Stare Miasto","61-719",NA,NA,NA
"152","ProfMedica- Dr hab. Agnieszka Permoda-Osip","ChIJB24ZgEVbBEcRayxk48PMJHo",NA,NA,NA,NA,5,4,"+48 61 852 66 66","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.416794,16.931077,NA,"16","Kutrzeby","Stare Miasto","61-719",NA,NA,NA
"153","Fabryka Mebli Biurowych MARO - SALON FIRMOWY","ChIJ862QZTBbBEcRNS_DkIEHdU8",NA,NA,"http://www.maro.pl/",NA,4,5,"+48 782 699 989","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4166332,16.92962,"107","16a","Kutrzeby","Stare Miasto","61-719",NA,NA,NA
"154","Silkworms Gallery","ChIJ6V5tjkVbBEcRx6VuqLpwT7E",NA,NA,NA,NA,NA,NA,"+48 503 961 157","CLOSED_TEMPORARILY","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4156753,16.9309822,NA,"10","Kutrzeby","Stare Miasto","61-719",NA,NA,NA
"155","Żabka","ChIJkytfY09bBEcRgi6TTcxwK8g","People typically spend 15 min here",9,"https://www.zabka.pl/",NA,4.4,259,"+48 61 856 37 00","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4162318,16.9300835,NA,"14","Kutrzeby","Stare Miasto","61-719",NA,NA,NA
"156","Handrog Sp. z o.o.","ChIJyUaafE9bBEcRD7xs6jtHVDU",NA,NA,"http://www.handrog.com.pl/",NA,NA,NA,"+48 61 853 20 06","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4161996,16.9303843,NA,"14","Kutrzeby","Stare Miasto","61-719",NA,NA,NA
"157","centrakonferencyjne.com.pl - wynajem sal szkoleniowych","ChIJo-YjjEVbBEcRC2rYDQTGKpc",NA,NA,NA,NA,5,7,"+48 61 858 43 73","CLOSED_TEMPORARILY","Poznań","Poznań","Wielkopolskie","Poland",NA,52.415783,16.931004,NA,"10","Kutrzeby","Stare Miasto","61-719",NA,NA,NA
"158","Nierozpoznani","ChIJK6vTY1pbBEcRHzCZNqhHBas",NA,NA,NA,NA,4.6,425,NA,"OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4218194,16.9355167,NA,NA,"Winogrady","Stare Miasto","60-995",NA,NA,NA
"159","Nadstaga. Zakład ogólnobudowlany","ChIJbfZsJkxbBEcRgnSxTXYfPps",NA,NA,NA,NA,NA,NA,"+48 61 851 79 07","CLOSED_TEMPORARILY","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4173023,16.9226619,NA,"30","Pułaskiego","Stare Miasto","60-607",NA,NA,NA
"160","DOM COMPLEX NIERUCHOMOŚCI","ChIJDRYTklRbBEcRSqOEBH6lckM",NA,NA,"http://www.domcomplex.pl/",NA,4.8,19,"+48 502 669 836","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4235296,16.9254305,NA,"18","Winogrady","Stare Miasto","61-001",NA,NA,NA
"161","Wielkopolski Związek Lekkiej Atletyki","ChIJbfZsJkxbBEcRC0OtpKmFgEg",NA,NA,"http://wzla.poznan.pl/",NA,4.6,5,"+48 61 852 86 32","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4188037,16.9228164,NA,NA,"Pułaskiego","Stare Miasto","60-607",NA,NA,NA
"162","Słowińscy. S.j. Biuro handlowe","ChIJkX9-S1JbBEcRPDxFULrvXAw",NA,NA,"http://www.oknaslowinscy.pl/",NA,5,55,"+48 519 323 600","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4231415,16.9242417,NA,"27","Winogrady","Stare Miasto","61-663",NA,NA,NA
"163","Sklep Biegacza","ChIJ2Vu6M09bBEcRv4a-DeaAJ8I","People typically spend 20-45 min here",NA,"https://sklepbiegacza.pl/?utm_source=google&utm_medium=link&utm_campaign=wizytowka_poznan",NA,4.4,306,"+48 536 302 728","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4150833,16.927047,NA,"36","Aleja Niepodległości","Stare Miasto","61-714",NA,NA,NA
